	name	explicit	artists	album_name	key	mode	time_signature	genre	duration_ms	popularity	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo
0	Long Road	False	Funki Porcini	Hed Phone Sex	5	1.0	4.0	j-dance	0.0537982511908949	0.5227272727272727	0.6870953819594302	0.5129901624012805	0.6847046053028323	0.0822506055934816	0.3032128514056225	0.536	0.2742263843648209	0.6381909547738693	0.5883135386928703
1	Daniâl My Son, Where Did You Vanish?	False	Siavash Amini	A Trail of Laughters	1	0.0	4.0	iranian	0.1031368976667094	0.0	0.0170479067760034	0.1959837588719292	0.4380163627957465	0.063532261616384	0.2841365461847389	0.934	0.3546416938110749	0.0337688442211055	0.2380298943760088
2	Ondskapens Galakse	False	Kvelertak	Nattesferd	2	1.0	4.0	black-metal	0.0761806852275349	0.034090909090909	0.33426845058265	0.853997050740425	0.7869017227169478	0.0186082360713499	8.965863453815261e-05	0.8	0.254885993485342	0.4914572864321608	0.4537573014095466
3	Can't Look Away	False	The Wood Brothers	One Drop of Truth	5	1.0	4.0	bluegrass	0.0606389140033051	0.2613636363636363	0.506905481225723	0.5849916168306599	0.8238486742919171	0.0591279453864787	0.0666666666666666	0.00127	0.1072882736156352	0.3869346733668342	0.581263176711198
4	Thunderground	False	The Darkraver;DJ Vince	Happy Hardcore Top 100	7	1.0	4.0	happy	0.069873076917447	0.2840909090909091	0.6363832542080277	0.686993677272281	0.7086055440529078	0.0342435586875137	0.000578313253012	0.0969	0.2925488599348534	0.6402010050251257	0.5974353716818346
5	Sick Bubblegum	True	Rob Zombie	Hellbilly Deluxe 2 (Standard Explicit)	5	1.0	4.0	industrial	0.049530399720128	0.3636363636363636	0.6353042727665085	0.9719994343885746	0.8753090638631477	0.0813697423475005	0.0015261044176706	2.39e-05	0.3790716612377851	0.4231155778894472	0.4611546610726434
6	The Diamond Four	False	Momoiro Clover Z	MOMOIRO CLOVER Z	2	1.0	4.0	j-idol	0.0497485007384695	0.3068181818181818	0.7809667673716012	0.9489989697791896	0.886545922367178	0.0393085223519048	0.3072289156626506	1.63e-05	0.2925488599348534	0.8542713567839196	0.4188682618044931
7	Quiero tener tu presencia	False	Seguridad Social	Furia Latina	4	1.0	4.0	spanish	0.048642382151042	0.7272727272727273	0.7421234354769098	0.8159962831249191	0.8240496914386797	0.0626513983704029	0.0211847389558232	0.0	0.0880496742671009	0.5768844221105527	0.6085761002718147
8	Shhhh Baby Shusher Mama Shushing Background Fan (Loopable)	False	Baby Sleep;Baby Shushing;Dreams of Dreams	Shhhh Baby Shusher Mama Shushing Background Fan (Loopable)	6	1.0	4.0	sleep	0.0233165602102747	0.5113636363636364	0.1076823478636167	0.1189822034405095	0.4307998472269684	0.0300594582691037	0.7068273092369477	0.913	0.5409201954397396	0.0343718592964824	0.2868724468068326
9	Into The Pentagram	False	Samael	Worship Him	4	1.0	4.0	black-metal	0.0938175924087183	0.2386363636363636	0.2781614156236513	0.7289945256894189	0.7949022051581001	0.0129927328782206	0.0001164658634538	0.222	0.2172231270358306	0.1195979899497487	0.5836080398311277
10	Gammy Elbow - VIP Mix	False	DJ Zinc;Chris Lorenzo	Gammy Elbow (VIP Mix)	7	1.0	4.0	j-dance	0.0414870098155216	0.2159090909090909	0.9395770392749244	0.8929978385563389	0.8849578869077532	0.1852014974675181	0.0166666666666666	0.859	0.0805171009771987	0.6160804020100502	0.5240558771417906
11	Nobody Supposed to Be Here	False	Kyle Edwards;DJ Smallz 732	Warning	6	0.0	4.0	techno	0.0190987207179866	0.2386363636363636	0.8974967630556755	0.749994949897988	0.7584778981647134	0.1653820744329442	0.088152610441767	0.963	0.0343037459283387	0.4080402010050251	0.5770518866684542
12	Beautiful Girl	False	Vybz Kartel	Kingston Story (Deluxe Edition)	7	1.0	4.0	j-dance	0.0480820040312094	0.25	0.7971514889943894	0.853997050740425	0.8125314089291816	0.090508698524554	0.1164658634538152	4.02e-06	0.0981270358306189	0.8331658291457286	0.4189628975357907
13	知足	False	Mayday	知足 just my pride 最真傑作選	4	1.0	4.0	mandopop	0.0574410749111128	0.5795454545454546	0.3806646525679758	0.2299844456858028	0.7555028443926267	0.0075974454965866	0.8835341365461847	0.0	0.0971091205211726	0.3969849246231156	0.6813352050177967
14	Do You Want a Man - Heaven & Hell Remix	False	William Onyeabor;The Vaccines;John Hill;Rich Costey	What?!	5	1.0	4.0	afrobeat	0.0303811791019214	0.25	0.5932239965472593	0.9209984041677642	0.8650973928076066	0.0774058577405857	0.1987951807228915	0.00035	0.1235749185667752	0.8201005025125627	0.4871426843950936
15	Escalate	False	X-RX	Activate the Machinez	9	1.0	4.0	industrial	0.0486521405858671	0.2840909090909091	0.5133793698748382	0.9899997979959196	0.8546445011759503	0.0213609337150407	0.000824297188755	0.0743	0.2996742671009772	0.5919597989949749	0.5555485455013853
16	Querencia	False	Cameron Sinosa	Querencia	5	0.0	3.0	sleep	0.0423047666538668	0.6477272727272727	0.1260250323694432	0.0031398634252411	0.1603312762578647	0.0213609337150407	0.9949799196787148	0.931	0.1011807817589576	0.0950753768844221	0.2136769661887562
17	Real Bad Man - Radio Edit	False	Beenie Man;Blakk Man	Imac Riddim	8	1.0	5.0	j-dance	0.0422969599060067	0.0113636363636363	0.7162278808804489	0.7949958589163502	0.8521719902707701	0.2953094032151508	0.0299196787148594	2.33e-06	0.1235749185667752	0.7959798994974875	0.5433720814077591
