name,explicit,artists,album_name,key,mode,time_signature,genre,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Long Road,False,Funki Porcini,Hed Phone Sex,5,1.0,4.0,j-dance,0.05379825119089499,0.5227272727272727,0.6870953819594302,0.5129901624012805,0.6847046053028323,0.08225060559348162,0.3032128514056225,0.536,0.2742263843648209,0.6381909547738693,0.5883135386928703
"Daniâl My Son, Where Did You Vanish?",False,Siavash Amini,A Trail of Laughters,1,0.0,4.0,iranian,0.10313689766670944,0.0,0.01704790677600346,0.19598375887192923,0.4380163627957465,0.06353226161638406,0.28413654618473894,0.934,0.3546416938110749,0.03376884422110553,0.2380298943760088
Ondskapens Galakse,False,Kvelertak,Nattesferd,2,,4.0,black-metal,0.07618068522753499,0.03409090909090909,0.33426845058265,0.853997050740425,0.7869017227169478,0.01860823607134992,8.965863453815261e-05,0.8,0.254885993485342,0.4914572864321608,0.4537573014095466
Can't Look Away,False,The Wood Brothers,One Drop of Truth,5,1.0,4.0,bluegrass,0.060638914003305185,0.26136363636363635,0.506905481225723,0.5849916168306599,0.8238486742919171,0.059127945386478746,0.06666666666666667,0.00127,0.1072882736156352,0.3869346733668342,0.581263176711198
Thunderground,False,The Darkraver;DJ Vince,Happy Hardcore Top 100,7,1.0,4.0,happy,0.06987307691744706,0.2840909090909091,0.6363832542080277,0.686993677272281,0.7086055440529078,0.03424355868751377,0.0005783132530120482,0.0969,0.2925488599348534,0.6402010050251257,0.5974353716818346
Sick Bubblegum,True,Rob Zombie,Hellbilly Deluxe 2 (Standard Explicit),5,,4.0,industrial,0.04953039972012809,0.36363636363636365,0.6353042727665085,0.9719994343885746,0.8753090638631477,0.08136974234750054,0.001526104417670683,2.39e-05,0.3790716612377851,0.4231155778894472,0.4611546610726434
The Diamond Four,False,Momoiro Clover Z,MOMOIRO CLOVER Z,2,1.0,4.0,j-idol,0.04974850073846956,0.3068181818181818,0.7809667673716012,0.9489989697791895,0.886545922367178,0.03930852235190487,0.3072289156626506,1.63e-05,0.2925488599348534,0.8542713567839196,0.4188682618044931
Quiero tener tu presencia,False,Seguridad Social,Furia Latina,4,,4.0,spanish,0.04864238215104203,0.7272727272727273,0.7421234354769098,0.8159962831249191,0.8240496914386797,0.06265139837040298,0.021184738955823294,0.0,0.08804967426710099,0.5768844221105527,0.6085761002718147
Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),False,Baby Sleep;Baby Shushing;Dreams of Dreams,Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),6,,,sleep,0.023316560210274753,0.5113636363636364,0.10768234786361675,0.1189822034405095,0.43079984722696846,0.03005945826910372,0.7068273092369477,0.913,0.5409201954397396,0.03437185929648241,0.28687244680683266
Into The Pentagram,False,Samael,Worship Him,4,1.0,4.0,black-metal,0.09381759240871838,0.23863636363636365,0.2781614156236513,0.7289945256894189,0.7949022051581001,0.012992732878220654,0.00011646586345381526,0.222,0.21722312703583063,0.11959798994974874,0.5836080398311277
Gammy Elbow - VIP Mix,False,DJ Zinc;Chris Lorenzo,Gammy Elbow (VIP Mix),7,1.0,4.0,j-dance,0.04148700981552167,0.2159090909090909,0.9395770392749245,0.8929978385563389,0.8849578869077532,0.18520149746751818,0.016666666666666666,0.859,0.0805171009771987,0.6160804020100502,0.5240558771417906
Nobody Supposed to Be Here,False,Kyle Edwards;DJ Smallz 732,Warning,6,0.0,4.0,techno,0.0190987207179866,0.23863636363636365,0.8974967630556755,0.749994949897988,0.7584778981647134,0.16538207443294428,0.08815261044176707,0.963,0.034303745928338764,0.40804020100502514,0.5770518866684542
Beautiful Girl,False,Vybz Kartel,Kingston Story (Deluxe Edition),7,1.0,4.0,j-dance,0.04808200403120943,0.25,0.7971514889943894,0.853997050740425,0.8125314089291816,0.09050869852455405,0.11646586345381527,4.02e-06,0.0981270358306189,0.8331658291457286,0.4189628975357907
知足,False,Mayday,知足 just my pride 最真傑作選,4,,4.0,mandopop,0.057441074911112854,0.5795454545454546,0.3806646525679758,0.22998444568580287,0.7555028443926267,0.007597445496586655,0.8835341365461847,0.0,0.09710912052117264,0.3969849246231156,0.6813352050177967
Do You Want a Man - Heaven & Hell Remix,False,William Onyeabor;The Vaccines;John Hill;Rich Costey,What?!,5,,4.0,afrobeat,0.030381179101921483,0.25,0.5932239965472593,0.9209984041677642,0.8650973928076066,0.07740585774058578,0.19879518072289157,0.00035,0.12357491856677526,0.8201005025125627,0.4871426843950936
